experiment_id,dataset_family,investigation_id,original_test_id,fuel_material,material_category,sample_description,oxygen_pct,pressure_mmhg,pressure_kpa,burn_time_s,extinction_outcome,extinction_diameter_mm,initial_diameter_mm,burning_rate_mms,airflow_velocity_cms,flame_temp_k,gravity_condition,ignition_power_w,ignition_time_s,co2_pct,co_ppm,test_date,source_name,source_url,notes
FLEX-001,FLEX,PSI-69,1,Methanol,Liquid Droplet,Droplet initial diameter: 1.69 mm,21.0,757.7,101.02,4.3,Disruption,0.89,1.69,0.52,0.0,1250.0,Microgravity (~0g),,,,,3/5/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 20CAL08. Extinction diameter: 0.89 mm. Burning rate: 0.52 mm/s.
FLEX-002,FLEX,PSI-69,2,Methanol,Liquid Droplet,Droplet initial diameter: 1.86 mm,21.0,762.0,101.59,5.0,Extinction,0.94,1.86,0.6,0.0,1400.0,Microgravity (~0g),,,,,3/5/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 20CAL10. Extinction diameter: 0.94 mm. Burning rate: 0.6 mm/s.
FLEX-003,FLEX,PSI-69,3,Methanol,Liquid Droplet,Droplet initial diameter: 1.61 mm,21.0,764.2,101.88,3.2,Extinction,0.92,1.61,0.58,0.0,1400.0,Microgravity (~0g),,,,,3/5/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 20CAL12. Extinction diameter: 0.92 mm. Burning rate: 0.58 mm/s.
FLEX-004,FLEX,PSI-69,4,Methanol,Liquid Droplet,Droplet initial diameter: 2.06 mm,21.0,760.0,101.32,7.64,Extinction,,2.06,0.6,0.0,1400.0,Microgravity (~0g),,,,,3/31/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 30CAL02. Extinction diameter: None mm. Burning rate: 0.6 mm/s.
FLEX-005,FLEX,PSI-69,5,Methanol,Liquid Droplet,Droplet initial diameter: 1.92 mm,21.0,760.0,101.32,6.34,Extinction,0.81,1.92,0.48,0.0,1400.0,Microgravity (~0g),,,,,3/31/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 30CAL03. Extinction diameter: 0.81 mm. Burning rate: 0.48 mm/s.
FLEX-006,FLEX,PSI-69,6,Methanol,Liquid Droplet,Droplet initial diameter: 2.54 mm,21.0,760.0,101.32,9.6,Extinction,1.53,2.54,0.51,0.0,1400.0,Microgravity (~0g),,,,,3/31/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 40CAL01. Extinction diameter: 1.53 mm. Burning rate: 0.51 mm/s.
FLEX-007,FLEX,PSI-69,7,Heptane,Liquid Droplet,Droplet initial diameter: 1.87 mm,21.0,761.3,101.5,5.3,Disruption,,1.87,0.67,0.0,1250.0,Microgravity (~0g),,,,,4/10/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 20CAL13. Extinction diameter: None mm. Burning rate: 0.67 mm/s.
FLEX-008,FLEX,PSI-69,8,Heptane,Liquid Droplet,Droplet initial diameter: 2.95 mm,21.0,762.4,101.64,14.8,Disruption,,2.95,0.79,0.0,1250.0,Microgravity (~0g),,,,,4/10/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 30CAL06. Extinction diameter: None mm. Burning rate: 0.79 mm/s.
FLEX-009,FLEX,PSI-69,9,Heptane,Liquid Droplet,Spherical droplet,21.0,760.0,101.32,,Disruption,,,,0.0,1250.0,Microgravity (~0g),,,,,4/10/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 30CAL07. Extinction diameter: None mm. Burning rate: None mm/s.
FLEX-010,FLEX,PSI-69,10,Methanol,Liquid Droplet,Droplet initial diameter: 3.86 mm,21.0,2319.7,309.27,13.6,Extinction,,3.86,0.37,0.0,1400.0,Microgravity (~0g),,,,,5/22/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 256F002. Extinction diameter: None mm. Burning rate: 0.37 mm/s.
FLEX-011,FLEX,PSI-69,11,Methanol,Liquid Droplet,Droplet initial diameter: 3.03 mm,21.0,2318.8,309.15,16.5,Extinction,,3.03,0.4,0.0,1400.0,Microgravity (~0g),,,,,5/22/2009,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: 256R001. Extinction diameter: None mm. Burning rate: 0.4 mm/s.
